date,ab_workout,cold_shower,lucid_dreaming,omad,self_discipline
2018-11-04,1,0,0,0,0
2018-11-05,1,0,0,0,0
2018-11-06,1,0,0,0,0
2018-11-07,1,0,0,0,0
2018-11-08,1,0,0,0,0
2018-11-09,1,0,0,0,0
2018-11-10,1,0,0,0,0
2018-11-11,1,0,0,0,0
2018-11-12,1,0,0,0,0
2018-11-13,1,0,0,0,0
2018-11-14,1,0,0,0,0
2018-11-15,1,0,0,0,0
2018-11-16,1,0,0,0,0
2018-11-17,1,0,0,0,0
2018-11-18,1,0,0,0,0
2018-11-19,1,0,0,0,0
2018-11-20,1,0,0,0,0
2018-11-21,1,0,0,0,0
2018-11-22,1,0,0,0,0
2018-11-23,1,0,0,0,0
2018-11-24,1,0,0,0,0
2018-11-25,1,0,0,0,0
2018-11-26,1,0,0,0,0
2018-11-27,1,0,0,0,0
2018-11-28,1,0,0,0,0
2018-11-29,1,0,0,0,0
2018-11-30,1,0,0,0,0
2018-12-01,1,1,0,0,0
2018-12-02,1,1,0,0,0
2018-12-03,1,1,0,0,0
2018-12-04,1,1,0,0,0
2018-12-05,1,1,0,0,0
2018-12-06,1,1,0,0,0
2018-12-07,1,1,0,0,0
2018-12-08,1,1,0,0,0
2018-12-09,1,1,0,0,0
2018-12-10,1,1,0,0,0
2018-12-11,1,1,0,0,0
2018-12-12,1,1,0,0,0
2018-12-13,1,1,0,0,0
2018-12-14,1,1,0,0,0
2018-12-15,1,1,0,0,0
2018-12-16,1,1,0,0,0
2018-12-17,1,1,0,0,0
2018-12-18,1,1,0,0,0
2018-12-19,1,1,0,0,0
2018-12-20,1,1,0,0,0
2018-12-21,1,1,0,0,0
2018-12-22,1,1,0,0,0
2018-12-23,1,1,0,0,0
2018-12-24,1,1,0,0,0
2018-12-25,1,1,0,0,0
2018-12-26,1,1,0,0,0
2018-12-27,1,1,0,0,0
2018-12-28,1,1,0,0,0
2018-12-29,1,1,0,0,0
2018-12-30,1,1,0,0,0
2018-12-31,1,1,0,0,0
2019-01-01,1,1,0,0,0
2019-01-02,1,1,0,0,0
2019-01-03,1,1,0,0,0
2019-01-04,1,1,0,0,0
2019-01-05,1,1,0,0,0
2019-01-06,1,1,0,0,0
2019-01-07,1,1,0,0,0
2019-01-08,1,1,0,0,0
2019-01-09,1,1,0,0,0
2019-01-10,1,1,0,0,0
2019-01-11,1,1,0,0,0
2019-01-12,1,1,0,0,0
2019-01-13,1,1,0,0,0
2019-01-14,1,1,0,0,0
2019-01-15,1,1,0,0,0
2019-01-16,1,1,0,0,0
2019-01-17,1,1,0,0,0
2019-01-18,1,1,0,0,0
2019-01-19,1,1,0,0,0
2019-01-20,1,1,0,0,0
2019-01-21,1,1,0,0,0
2019-01-22,1,1,0,0,0
2019-01-23,1,1,0,0,0
2019-01-24,1,1,0,0,0
2019-01-25,1,1,0,0,0
2019-01-26,1,1,0,0,0
2019-01-27,1,0,0,0,0
2019-01-28,1,1,0,0,0
2019-01-29,1,1,0,0,0
2019-01-30,1,1,0,0,0
2019-01-31,1,1,0,0,0
2019-02-01,1,1,0,0,0
2019-02-02,1,1,0,0,0
2019-02-03,1,1,0,0,0
2019-02-04,1,1,0,0,0
2019-02-05,1,1,0,0,0
2019-02-06,1,1,0,0,0
2019-02-07,1,1,0,0,0
2019-02-08,1,1,0,0,0
2019-02-09,1,1,0,0,0
2019-02-10,1,1,0,0,0
2019-02-11,1,1,0,0,0
2019-02-12,0,1,0,0,0
2019-02-13,0,1,0,0,0
2019-02-14,0,1,0,0,0
2019-02-15,0,1,0,0,0
2019-02-16,0,1,0,0,0
2019-02-17,0,1,0,0,0
2019-02-18,0,1,0,0,0
2019-02-19,0,1,0,0,0
2019-02-20,0,1,0,0,0
2019-02-21,0,1,0,0,0
2019-02-22,0,1,0,0,0
2019-02-23,0,1,0,0,0
2019-02-24,0,1,0,0,0
2019-02-25,0,1,0,0,0
2019-02-26,0,1,0,0,0
2019-02-27,0,1,0,0,0
2019-02-28,0,1,0,0,0
2019-03-01,0,1,0,0,0
2019-03-02,0,1,0,0,0
2019-03-03,0,1,0,1,0
2019-03-04,0,1,0,1,0
2019-03-05,0,1,0,1,0
2019-03-06,0,1,0,1,0
2019-03-07,0,1,0,1,0
2019-03-08,0,1,0,1,0
2019-03-09,0,1,0,1,0
2019-03-10,0,1,0,1,0
2019-03-11,0,1,0,1,0
2019-03-12,0,1,0,1,0
2019-03-13,0,1,0,1,0
2019-03-14,0,1,0,1,0
2019-03-15,0,1,0,1,0
2019-03-16,0,1,0,1,0
2019-03-17,0,1,0,1,0
2019-03-18,0,1,0,1,0
2019-03-19,0,1,0,1,0
2019-03-20,0,1,1,1,0
2019-03-21,0,1,1,1,0
2019-03-22,0,1,1,1,0
2019-03-23,0,1,1,1,0
2019-03-24,0,1,1,0,0
2019-03-25,0,1,1,0,0
2019-03-26,0,1,1,0,0
2019-03-27,0,1,1,0,0
2019-03-28,0,1,1,0,0
2019-03-29,0,1,1,0,0
2019-03-30,0,1,1,0,0
2019-03-31,0,1,1,0,0
2019-04-01,0,1,1,0,0
2019-04-02,0,1,1,0,0
2019-04-03,0,1,1,0,0
2019-04-04,0,1,1,0,0
2019-04-05,0,1,1,0,0
2019-04-06,0,1,1,0,0
2019-04-07,0,1,1,0,0
2019-04-08,0,1,1,0,0
2019-04-09,0,1,1,0,0
2019-04-10,0,1,1,0,0
2019-04-11,0,1,1,0,0
2019-04-12,0,1,1,0,0
2019-04-13,0,1,1,0,0
2019-04-14,0,1,1,0,0
2019-04-15,0,1,1,0,0
2019-04-16,0,1,1,0,0
2019-04-17,0,1,1,0,0
2019-04-18,0,1,1,0,0
2019-04-19,0,1,0,0,0
2019-04-20,0,1,0,0,0
2019-04-21,0,1,0,0,0
2019-04-22,0,1,0,0,0
2019-04-23,0,1,0,0,0
2019-04-24,0,1,0,0,0
2019-04-25,0,1,0,0,0
2019-04-26,0,1,0,0,0
2019-04-27,0,1,0,0,0
2019-04-28,0,1,0,0,0
2019-04-29,0,1,0,0,0
2019-04-30,0,1,0,0,0
2019-05-01,0,1,0,0,0
2019-05-02,0,1,0,0,0
2019-05-03,0,1,0,0,0
2019-05-04,0,1,0,0,0
2019-05-05,0,1,0,0,0
2019-05-06,0,1,0,0,0
2019-05-07,0,1,0,0,0
2019-05-08,0,0,0,0,0
2019-05-09,0,0,0,0,0
2019-05-10,0,0,0,0,0
2019-05-11,0,0,0,0,0
2019-05-12,0,0,0,0,0
2019-05-13,0,0,0,0,0
2019-05-14,0,0,0,0,0
2019-05-15,0,0,0,0,0
2019-05-16,0,0,0,0,0
2019-05-17,0,0,0,0,0
2019-05-18,0,0,0,0,1
2019-05-19,0,0,0,0,1
2019-05-20,0,0,0,0,1
2019-05-21,0,0,0,0,1
2019-05-22,0,0,0,0,0
2019-05-23,0,0,0,0,0
2019-05-24,0,0,0,0,0
2019-05-25,0,0,0,0,1
2019-05-26,0,0,0,0,0
2019-05-27,0,0,0,0,1
2019-05-28,0,0,0,0,0
2019-05-29,0,0,0,0,0
2019-05-30,0,0,0,0,0
2019-05-31,0,0,0,0,1
2019-06-01,0,0,0,0,0
2019-06-02,0,0,0,0,0
2019-06-03,0,0,0,0,0
2019-06-04,0,0,0,0,0
2019-06-05,0,0,0,0,0
2019-06-06,0,0,0,0,0
2019-06-07,0,0,0,0,0
2019-06-08,0,0,0,0,1
2019-06-09,0,0,0,0,1
2019-06-10,0,0,0,0,0
2019-06-11,0,0,0,0,1
2019-06-12,0,0,0,0,0
2019-06-13,0,0,0,0,0
2019-06-14,0,0,0,0,0
2019-06-15,0,0,0,0,0
2019-06-16,0,0,0,0,0
2019-06-17,0,0,0,0,0
2019-06-18,0,0,0,0,0
2019-06-19,0,0,0,0,0
2019-06-20,0,0,0,0,1
2019-06-21,0,0,0,0,0
2019-06-22,0,0,0,0,0
2019-06-23,0,0,0,0,1
2019-06-24,0,0,0,0,1
2019-06-25,0,0,0,0,0
2019-06-26,0,0,0,0,0
2019-06-27,0,0,0,0,0
2019-06-28,0,0,0,0,1
2019-06-29,0,0,0,0,0
2019-06-30,0,0,0,0,0
2019-07-01,0,0,0,0,0
2019-07-02,0,0,0,0,0
2019-07-03,0,0,0,0,0
