date,upper bound,goal,lower bound,actual
2018-10-29,92.5,91.5,90.5,91.3
2018-10-30,92.46666667,91.46666667,90.46666667,91.4
2018-10-31,92.43333333,91.43333333,90.43333333,91.3
2018-11-01,92.4,91.4,90.4,91.7
2018-11-02,92.36666667,91.36666667,90.36666667,91.8
2018-11-03,92.33333333,91.33333333,90.33333333,91.1
2018-11-04,92.3,91.3,90.3,92.5
2018-11-05,92.26666667,91.26666667,90.26666667,92.0
2018-11-06,92.23333333,91.23333333,90.23333333,91.9
2018-11-07,92.2,91.2,90.2,91.3
2018-11-08,92.16666667,91.16666667,90.16666667,91.5
2018-11-09,92.13333333,91.13333333,90.13333333,90.9
2018-11-10,92.1,91.1,90.1,90.9
2018-11-11,92.06666667,91.06666667,90.06666667,91.3
2018-11-12,92.03333333,91.03333333,90.03333333,91.6
2018-11-13,92.0,91.0,90.0,90.6
2018-11-14,91.96666667,90.96666667,89.96666667,90.3
2018-11-15,91.93333333,90.93333333,89.93333333,90.2
2018-11-16,91.9,90.9,89.9,91.0
2018-11-17,91.86666667,90.86666667,89.86666667,90.5
2018-11-18,91.83333333,90.83333333,89.83333333,90.8
2018-11-19,91.8,90.8,89.8,91.0
2018-11-20,91.76666667,90.76666667,89.76666667,91.9
2018-11-21,91.73333333,90.73333333,89.73333333,90.1
2018-11-22,91.7,90.7,89.7,90.9
2018-11-23,91.66666667,90.66666667,89.66666667,90.4
2018-11-24,91.63333333,90.63333333,89.63333333,90.2
2018-11-25,91.6,90.6,89.6,91.1
2018-11-26,91.56666667,90.56666667,89.56666667,91.1
2018-11-27,91.53333333,90.53333333,89.53333333,90.7
2018-11-28,91.5,90.5,89.5,90.8
2018-11-29,91.46666667,90.46666667,89.46666667,91.4
2018-11-30,91.43333333,90.43333333,89.43333333,90.9
2018-12-01,91.4,90.4,89.4,89.5
2018-12-02,91.36666667,90.36666667,89.36666667,89.7
2018-12-03,91.33333333,90.33333333,89.33333333,89.5
2018-12-04,91.3,90.3,89.3,89.4
2018-12-05,91.26666667,90.26666667,89.26666667,89.7
2018-12-06,91.23333333,90.23333333,89.23333333,90.4
2018-12-07,91.2,90.2,89.2,90.3
2018-12-08,91.16666667,90.16666667,89.16666667,89.5
2018-12-09,91.13333333,90.13333333,89.13333333,90.1
2018-12-10,91.1,90.1,89.1,89.2
2018-12-11,91.06666667,90.06666667,89.06666667,89.5
2018-12-12,91.03333333,90.03333333,89.03333333,89.5
2018-12-13,91.0,90.0,89.0,89.6
2018-12-14,90.96666667,89.96666667,88.96666667,90.0
2018-12-15,90.93333333,89.93333333,88.93333333,89.0
2018-12-16,90.9,89.9,88.9,88.9
2018-12-17,90.86666667,89.86666667,88.86666667,89.0
2018-12-18,90.83333333,89.83333333,88.83333333,89.7
2018-12-19,90.8,89.8,88.8,88.7
2018-12-20,90.76666667,89.76666667,88.76666667,88.7
2018-12-21,90.73333333,89.73333333,88.73333333,89.8
2018-12-22,90.7,89.7,88.7,88.5
2018-12-23,90.66666667,89.66666667,88.66666667,88.4
2018-12-24,90.63333333,89.63333333,88.63333333,88.1
2018-12-25,90.6,89.6,88.6,89.2
2018-12-26,90.56666667,89.56666667,88.56666667,88.7
2018-12-27,90.53333333,89.53333333,88.53333333,90.2
2018-12-28,90.5,89.5,88.5,88.8
2018-12-29,90.46666667,89.46666667,88.46666667,89.1
2018-12-30,90.43333333,89.43333333,88.43333333,89.8
2018-12-31,90.4,89.4,88.4,89.5
2019-01-01,90.36666667,89.36666667,88.36666667,89.3
2019-01-02,90.33333333,89.33333333,88.33333333,89.9
2019-01-03,90.3,89.3,88.3,89.5
2019-01-04,90.26666667,89.26666667,88.26666667,89.5
2019-01-05,90.23333333,89.23333333,88.23333333,89.2
2019-01-06,90.2,89.2,88.2,88.7
2019-01-07,90.16666667,89.16666667,88.16666667,89.6
2019-01-08,90.13333333,89.13333333,88.13333333,90.0
2019-01-09,90.1,89.1,88.1,88.9
2019-01-10,90.06666667,89.06666667,88.06666667,88.7
2019-01-11,90.03333333,89.03333333,88.03333333,88.4
2019-01-12,90.0,89.0,88.0,87.2
2019-01-13,89.96666667,88.96666667,87.96666667,88.0
2019-01-14,89.93333333,88.93333333,87.93333333,88.6
2019-01-15,89.9,88.9,87.9,88.6
2019-01-16,89.86666667,88.86666667,87.86666667,88.3
2019-01-17,89.83333333,88.83333333,87.83333333,89.6
2019-01-18,89.8,88.8,87.8,88.8
2019-01-19,89.76666667,88.76666667,87.76666667,88.2
2019-01-20,89.73333333,88.73333333,87.73333333,88.4
2019-01-21,89.7,88.7,87.7,89.3
2019-01-22,89.66666667,88.66666667,87.66666667,89.3
2019-01-23,89.63333333,88.63333333,87.63333333,88.2
2019-01-24,89.6,88.6,87.6,88.6
2019-01-25,89.56666667,88.56666667,87.56666667,89.1
2019-01-26,89.53333333,88.53333333,87.53333333,88.3
2019-01-27,89.5,88.5,87.5,89.4
2019-01-28,89.46666667,88.46666667,87.46666667,89.4
2019-01-29,89.43333333,88.43333333,87.43333333,88.4
2019-01-30,89.4,88.4,87.4,88.4
2019-01-31,89.36666667,88.36666667,87.36666667,88.1
2019-02-01,89.33333333,88.33333333,87.33333333,89.0
2019-02-02,89.3,88.3,87.3,88.0
2019-02-03,89.26666667,88.26666667,87.26666667,88.9
2019-02-04,89.23333333,88.23333333,87.23333333,89.3
2019-02-05,89.2,88.2,87.2,88.9
2019-02-06,89.16666667,88.16666667,87.16666667,87.8
2019-02-07,89.13333333,88.13333333,87.13333333,89.0
2019-02-08,89.1,88.1,87.1,88.7
2019-02-09,89.06666667,88.06666667,87.06666667,88.9
2019-02-10,89.03333333,88.03333333,87.03333333,88.7
2019-02-11,89.0,88.0,87.0,89.2
2019-02-12,88.96666667,87.96666667,86.96666667,88.6
2019-02-13,88.93333333,87.93333333,86.93333333,87.6
2019-02-14,88.9,87.9,86.9,88.0
2019-02-15,88.86666667,87.86666667,86.86666667,88.1
2019-02-16,88.83333333,87.83333333,86.83333333,87.4
2019-02-17,88.8,87.8,86.8,87.9
2019-02-18,88.76666667,87.76666667,86.76666667,89.0
2019-02-19,88.73333333,87.73333333,86.73333333,88.9
2019-02-20,88.7,87.7,86.7,89.4
2019-02-21,88.66666667,87.66666667,86.66666667,89.2
2019-02-22,88.63333333,87.63333333,86.63333333,87.1
2019-02-23,88.6,87.6,86.6,87.9
2019-02-24,88.56666667,87.56666667,86.56666667,88.8
2019-02-25,88.53333333,87.53333333,86.53333333,89.2
2019-02-26,88.5,87.5,86.5,89.3
2019-02-27,88.46666667,87.46666667,86.46666667,88.5
2019-02-28,88.43333333,87.43333333,86.43333333,88.0
2019-03-01,88.4,87.4,86.4,89.0
2019-03-02,88.36666667,87.36666667,86.36666667,88.2
2019-03-03,88.33333333,87.33333333,86.33333333,89.3
2019-03-04,88.3,87.3,86.3,88.5
2019-03-05,88.26666667,87.26666667,86.26666667,88.5
2019-03-06,88.23333333,87.23333333,86.23333333,87.9
2019-03-07,88.2,87.2,86.2,87.9
2019-03-08,88.16666667,87.16666667,86.16666667,87.5
2019-03-09,88.13333333,87.13333333,86.13333333,87.7
2019-03-10,88.1,87.1,86.1,87.4
2019-03-11,88.06666667,87.06666667,86.06666667,87.4
2019-03-12,88.03333333,87.03333333,86.03333333,87.7
2019-03-13,88.0,87.0,86.0,87.2
2019-03-14,87.96666667,86.96666667,85.96666667,87.6
2019-03-15,87.93333333,86.93333333,85.93333333,87.1
2019-03-16,87.9,86.9,85.9,86.8
2019-03-17,87.86666667,86.86666667,85.86666667,86.8
2019-03-18,87.83333333,86.83333333,85.83333333,87.1
2019-03-19,87.8,86.8,85.8,87.5
2019-03-20,87.76666667,86.76666667,85.76666667,87.1
2019-03-21,87.73333333,86.73333333,85.73333333,86.9
2019-03-22,87.7,86.7,85.7,87.2
2019-03-23,87.66666667,86.66666667,85.66666667,86.1
2019-03-24,87.63333333,86.63333333,85.63333333,86.4
2019-03-25,87.6,86.6,85.6,86.9
2019-03-26,87.56666667,86.56666667,85.56666667,87.1
2019-03-27,87.53333333,86.53333333,85.53333333,86.2
2019-03-28,87.5,86.5,85.5,87.2
2019-03-29,87.46666667,86.46666667,85.46666667,87.5
2019-03-30,87.43333333,86.43333333,85.43333333,86.9
2019-03-31,87.4,86.4,85.4,89.0
2019-04-01,87.36666667,86.36666667,85.36666667,87.6
2019-04-02,87.33333333,86.33333333,85.33333333,87.6
2019-04-03,87.3,86.3,85.3,87.5
2019-04-04,87.26666667,86.26666667,85.26666667,87.4
2019-04-05,87.23333333,86.23333333,85.23333333,87.5
2019-04-06,87.2,86.2,85.2,85.7
2019-04-07,87.16666667,86.16666667,85.16666667,87.0
2019-04-08,87.13333333,86.13333333,85.13333333,87.9
2019-04-09,87.1,86.1,85.1,86.9
2019-04-10,87.06666667,86.06666667,85.06666667,87.0
2019-04-11,87.03333333,86.03333333,85.03333333,88.6
2019-04-12,87.0,86.0,85.0,88.3
2019-04-13,86.96666667,85.96666667,84.96666667,87.9
2019-04-14,86.93333333,85.93333333,84.93333333,88.4
2019-04-15,86.9,85.9,84.9,88.6
2019-04-16,86.86666667,85.86666667,84.86666667,88.4
2019-04-17,86.83333333,85.83333333,84.83333333,87.7
2019-04-18,86.8,85.8,84.8,87.6
2019-04-19,86.76666667,85.76666667,84.76666667,88.0
2019-04-20,86.73333333,85.73333333,84.73333333,88.5
2019-04-21,86.7,85.7,84.7,88.4
2019-04-22,86.66666667,85.66666667,84.66666667,88.3
2019-04-23,86.63333333,85.63333333,84.63333333,88.9
2019-04-24,86.6,85.6,84.6,88.9
2019-04-25,86.56666667,85.56666667,84.56666667,87.7
2019-04-26,86.53333333,85.53333333,84.53333333,87.3
2019-04-27,86.5,85.5,84.5,87.3
2019-04-28,86.46666667,85.46666667,84.46666667,88.2
2019-04-29,86.43333333,85.43333333,84.43333333,88.4
2019-04-30,86.4,85.4,84.4,88.6
2019-05-01,86.36666667,85.36666667,84.36666667,89.2
2019-05-02,86.33333333,85.33333333,84.33333333,89.5
2019-05-03,86.3,85.3,84.3,88.9
2019-05-04,86.26666667,85.26666667,84.26666667,90.5
2019-05-05,86.23333333,85.23333333,84.23333333,89.4
2019-05-06,86.2,85.2,84.2,89.0
2019-05-07,86.16666667,85.16666667,84.16666667,89.5
2019-05-08,86.13333333,85.13333333,84.13333333,89.0
2019-05-09,86.1,85.1,84.1,89.6
2019-05-10,86.06666667,85.06666667,84.06666667,90.6
2019-05-11,86.03333333,85.03333333,84.03333333,89.3
2019-05-12,86.0,85.0,84.0,89.6
2019-05-13,86.0,85.0,84.0,89.9
2019-05-14,86.0,85.0,84.0,90.8
2019-05-15,86.0,85.0,84.0,89.6
2019-05-16,86.0,85.0,84.0,88.9
2019-05-17,86.0,85.0,84.0,89.0
2019-05-18,86.0,85.0,84.0,89.2
2019-05-19,86.0,85.0,84.0,89.8
2019-05-20,86.0,85.0,84.0,89.9
2019-05-21,86.0,85.0,84.0,89.9
2019-05-22,86.0,85.0,84.0,90.3
2019-05-23,86.0,85.0,84.0,90.0
2019-05-24,86.0,85.0,84.0,89.7
2019-05-25,86.0,85.0,84.0,90.1
2019-05-26,86.0,85.0,84.0,89.2
2019-05-27,86.0,85.0,84.0,91.2
2019-05-28,86.0,85.0,84.0,89.7
2019-05-29,86.0,85.0,84.0,89.8
2019-05-30,86.0,85.0,84.0,90.3
2019-05-31,86.0,85.0,84.0,90.9
2019-06-01,86.0,85.0,84.0,87.5
2019-06-02,86.0,85.0,84.0,89.4
2019-06-03,86.0,85.0,84.0,90.7
2019-06-04,86.0,85.0,84.0,90.3
2019-06-05,86.0,85.0,84.0,90.5
2019-06-06,86.0,85.0,84.0,90.4
2019-06-07,86.0,85.0,84.0,90.7
2019-06-08,86.0,85.0,84.0,90.0
2019-06-09,86.0,85.0,84.0,89.8
2019-06-10,86.0,85.0,84.0,90.2
2019-06-11,86.0,85.0,84.0,89.9
2019-06-12,86.0,85.0,84.0,89.6
2019-06-13,86.0,85.0,84.0,91.1
2019-06-14,86.0,85.0,84.0,91.3
2019-06-15,86.0,85.0,84.0,90.5
2019-06-16,86.0,85.0,84.0,91.1
2019-06-17,86.0,85.0,84.0,90.4
2019-06-18,86.0,85.0,84.0,89.6
2019-06-19,86.0,85.0,84.0,90.5
2019-06-20,86.0,85.0,84.0,90.5
2019-06-21,86.0,85.0,84.0,89.7
2019-06-22,86.0,85.0,84.0,90.7
2019-06-23,86.0,85.0,84.0,89.9
2019-06-24,86.0,85.0,84.0,90.1
2019-06-25,86.0,85.0,84.0,89.2
2019-06-26,86.0,85.0,84.0,89.6
2019-06-27,86.0,85.0,84.0,90.5
2019-06-28,86.0,85.0,84.0,90.6
2019-06-29,86.0,85.0,84.0,89.2
2019-06-30,86.0,85.0,84.0,90.0
2019-07-01,86.0,85.0,84.0,90.0
2019-07-02,86.0,85.0,84.0,91.0
2019-07-03,86.0,85.0,84.0,90.3
2019-07-04,86.0,85.0,84.0,89.8
2019-07-05,86.0,85.0,84.0,
2019-07-06,86.0,85.0,84.0,
2019-07-07,86.0,85.0,84.0,
2019-07-08,86.0,85.0,84.0,
2019-07-09,86.0,85.0,84.0,
2019-07-10,86.0,85.0,84.0,
2019-07-11,86.0,85.0,84.0,
2019-07-12,86.0,85.0,84.0,
2019-07-13,86.0,85.0,84.0,
2019-07-14,86.0,85.0,84.0,
2019-07-15,86.0,85.0,84.0,
2019-07-16,86.0,85.0,84.0,
2019-07-17,86.0,85.0,84.0,
2019-07-18,86.0,85.0,84.0,
2019-07-19,86.0,85.0,84.0,
2019-07-20,86.0,85.0,84.0,
2019-07-21,86.0,85.0,84.0,
2019-07-22,86.0,85.0,84.0,
2019-07-23,86.0,85.0,84.0,
2019-07-24,86.0,85.0,84.0,
2019-07-25,86.0,85.0,84.0,
2019-07-26,86.0,85.0,84.0,
2019-07-27,86.0,85.0,84.0,
2019-07-28,86.0,85.0,84.0,
2019-07-29,86.0,85.0,84.0,
2019-07-30,86.0,85.0,84.0,
2019-07-31,86.0,85.0,84.0,
2019-08-01,86.0,85.0,84.0,
2019-08-02,86.0,85.0,84.0,
2019-08-03,86.0,85.0,84.0,
2019-08-04,86.0,85.0,84.0,
2019-08-05,86.0,85.0,84.0,
2019-08-06,86.0,85.0,84.0,
2019-08-07,86.0,85.0,84.0,
2019-08-08,86.0,85.0,84.0,
2019-08-09,86.0,85.0,84.0,
2019-08-10,86.0,85.0,84.0,
2019-08-11,86.0,85.0,84.0,
2019-08-12,86.0,85.0,84.0,
2019-08-13,86.0,85.0,84.0,
2019-08-14,86.0,85.0,84.0,
2019-08-15,86.0,85.0,84.0,
2019-08-16,86.0,85.0,84.0,
2019-08-17,86.0,85.0,84.0,
2019-08-18,86.0,85.0,84.0,
2019-08-19,86.0,85.0,84.0,
2019-08-20,86.0,85.0,84.0,
2019-08-21,86.0,85.0,84.0,
2019-08-22,86.0,85.0,84.0,
2019-08-23,86.0,85.0,84.0,
2019-08-24,86.0,85.0,84.0,
2019-08-25,86.0,85.0,84.0,
2019-08-26,86.0,85.0,84.0,
2019-08-27,86.0,85.0,84.0,
2019-08-28,86.0,85.0,84.0,
2019-08-29,86.0,85.0,84.0,
2019-08-30,86.0,85.0,84.0,
2019-08-31,86.0,85.0,84.0,
